"magnitude","latitude","longitude","depth"
"4.4","38.0516","38.1927","9.27"
"4.2","37.4801","37.1528","10"
"4.4","38.0086","37.2784","10"
"4.5","37.8505","36.6645","10"
"4.2","37.989","36.3922","10"
"4.1","38.0322","37.3231","10"
"4.2","37.9398","38.1889","10"
"4.3","36.9819","36.8786","10"
"4.1","36.9291","36.7256","10"
"3.9","38.1659","38.1633","10"
"5.2","37.9781","36.4456","10"
"4.4","38.1022","36.5286","10"
"4.5","38.0881","37.8449","10"
"4.5","37.0895","36.7386","10"
"4.5","38.097","36.696","10"
"4.1","38.1262","36.5145","10"
"4.3","37.961","37.3379","10"
"4.5","38.0112","37.4148","9.152"
"5","38.0007","36.5078","10"
"4.3","38.2354","39.1175","10"
"4.9","36.6625","36.4828","10"
"4.7","37.4633","36.981","5.178"
"4.7","38.0468","36.4364","10"
"4.8","38.0385","36.5982","10"
"4.6","37.9826","36.8994","10"
"4.2","38.0666","36.4607","10"
"4.1","38.0189","36.5048","3.826"
"4.1","38.0912","36.433","10"
"4.5","36.1064","35.7822","10"
"4.3","37.9972","36.9911","10"
"4.2","38.0709","37.5505","10"
"4.3","37.868","37.8519","15.594"
"5.4","38.19","38.1756","7.43"
"4.9","37.8791","37.7355","10"
"4.3","38.0378","37.8354","10"
"4.4","38.0706","38.404","10"
"4.5","38.1782","37.7439","10"
"4.5","38.0365","37.8572","10"
"4.7","37.9977","36.4927","10"
"4.5","36.8097","36.5387","10"
"4.4","37.8732","37.3571","21.255"
"4.5","37.7257","37.385","10"
"4.4","37.9944","36.4533","10"
"4.3","38.2079","37.8768","10"
"4.3","38.0588","36.4642","10"
"5","37.9405","37.4916","16.865"
"5.3","38.0166","37.7013","10"
"4.2","36.3454","36.4775","10"
"4.2","37.9231","37.5399","15.685"
"4.3","38.2669","38.3801","10"
"4.5","36.3959","36.3691","10"
"4.4","38.0367","37.3789","10.761"
"4.9","37.9951","36.3843","10"
"4.5","37.8011","37.9066","14.619"
"4.8","37.9077","36.5237","10"
"4.7","38.0104","36.6564","10"
"4.6","36.2541","36.2923","10"
"5","38.0384","37.371","16.904"
"4.5","37.991","37.2762","19.665"
"4.6","37.9978","37.4732","9.48"
"4.5","38.1156","36.6841","10"
"4.6","38.0519","36.864","18.833"
"4.3","38.0382","36.8659","13.923"
"4.6","37.9664","37.7885","10"
"4.9","38.0972","38.2339","14.471"
"4","37.9345","38.0571","16.472"
"4.2","37.8798","37.4824","16.174"
"4.4","38.0621","36.4541","8.221"
"4.7","37.9248","37.3761","17.77"
"4.4","38.0169","36.4016","8.28"
"6","38.0582","36.5114","8.516"
"4.7","38.0509","37.5686","15.351"
"4.3","38.0599","36.6805","7.09"
"4.5","38.016","37.7225","16.818"
"4.5","37.9721","36.3402","5.716"
"4.3","38.1471","38.0506","16.478"
"4.8","38.0622","36.5678","11.405"
"4.5","37.9417","37.351","17.733"
"4.1","38.1794","37.955","11.962"
"4.2","37.9264","36.9995","18.104"
"4.3","37.9321","38.246","13.126"
"4.1","38.0274","37.7493","15.64"
"4.9","37.9593","37.3732","10"
"5.1","38.0752","36.7588","5.968"
"4.2","38.0723","36.6628","15.349"
"4.8","37.8259","37.4436","13.77"
"4.6","37.9728","37.3801","10"
"4.3","38.6244","37.3766","10"
"5.7","38.248","38.1847","10"
"4.6","37.6189","37.9263","10"
"4.3","37.9155","37.8106","16.124"
"4.7","38.0443","36.644","10"
"4.7","38.039","36.8385","10"
"4.6","38.034","37.7967","11.982"
"4.5","37.8722","37.3582","10"
"5.8","38.0249","37.8023","10"
"5.4","37.9962","37.2033","14.057"
"6","38.0315","38.0984","10"
"7.5","38.0106","37.1962","7.432"
"4.4","37.9287","38.3323","17.106"
"4.4","38.8229","39.4835","16.043"
"4.3","37.3147","36.7946","11.367"
"4.6","36.9214","36.427","10"
"4.5","37.7583","37.9812","17.065"
"4.5","38.0402","38.2553","11.354"
"4.8","37.4633","37.2102","10"
"4","36.1795","35.9229","10"
"4.5","36.6219","36.4225","10"
"4.6","37.8718","38.0812","10"
"4.3","36.7978","36.2602","10"
"4.2","36.595","36.3297","10"
"4.5","36.7139","36.4459","11.457"
"4.2","37.47","37.0824","19.154"
"4.8","37.6427","37.394","10"
"4.5","38.0564","38.2173","10"
"4.6","37.3961","37.1506","10"
"4.4","38.1199","38.3761","10"
"4.3","37.4072","36.9513","10"
"4.5","37.9201","38.4457","10"
"4.4","36.3265","36.4042","10"
"4.6","36.2606","36.2043","10"
"4.5","37.9116","38.2366","19.278"
"4.6","36.2975","36.2085","13.032"
