latitude,longitude,depth,magnitude,exponent
-21.49,170.3,85.5,5.83,24
-63.04,171.66,15,5.56,24
-9.81,116.8,15,5.52,24
-15.16,-177.11,15,5.63,24
-15.63,-177.14,15,5.69,24
51.2,178.47,17.2,5.51,24
-55.46,-129.14,15,5.7,24
-6.3,154.76,97.1,5.41,24
-6.45,146.7,110.5,6.06,25
-10.21,118.73,15,5.62,24
-20.72,-178.67,595.4,5.82,24
-14.85,166.53,106.8,6.16,25
-49.92,-115.58,15,5.8,24
-10.3,-75.03,53.5,5.3,24
41.46,23.85,15,5.55,24
51.08,-176,37.7,6.8,26
51.47,-175.41,32.2,5.87,24
-10.3,161.05,47.6,5.61,24
51.53,-175.57,38.4,5.98,25
53.34,159.97,94,5.3,24
15.09,144.87,263.8,5.65,24
-7.11,155.84,66.5,5.72,24
47.44,154.47,29.3,5.49,24
-56.31,-27.8,127.4,5.37,24
33.64,140.4,103.6,5.67,24
33,88.14,10,6.41,25
-4.88,101.66,39.9,6.11,25
-56.15,-27.69,134.4,5.58,24
29.07,-113.1,15,5.99,25
-31.09,-179.94,341.1,5.49,24
6.92,123.64,599.1,5.85,24
-10,161.04,95.5,6.32,25
39.2,-124.35,15,5.21,23
-31.22,-67.69,20.8,7.45,27
52.18,-171.48,44.4,5.97,25
-31.53,-68.05,46.5,5.58,24
-17.3,-178.26,568.6,5.44,24
-14.72,-174.32,157.9,5.62,24
39.89,117.79,15,4.94,23
11.65,125.99,15,6.02,25
46.02,153.75,33.8,5.99,25
-0.61,120.53,60.9,5.84,24
-20.68,-178.49,575.4,5.82,24
58.09,-154.43,133.7,5.34,24
-41.28,-90.81,15,5.72,24
35.18,27.94,85,5.42,24
-32.02,-68.21,33.1,5.57,24
-31.67,-67.64,15,6.14,25
-20.58,-178.62,559.8,5.77,24
-5.35,145.07,56,6.03,25
52.32,160.48,40,5.65,24
3.31,95.67,62.4,6.04,25
-23.86,-175.59,24.6,6.15,25
-24.39,-175.53,15,5.97,25
-31.57,-68.22,32,5.73,24
-31.43,-68.11,19,5.88,24
-11.39,118.24,15,5.99,25
-28.58,-67.32,143.9,5.46,24
-20.21,-11.47,15,5.26,23
13.64,144.56,123.2,5.53,24
-24.19,-175.36,25.8,5.98,25
-52.33,28.91,15,5.35,24
-6.86,130.26,146,5.26,23
27.5,56.74,15,5.6,24
-31.28,-68.03,34.9,5.47,24
47.29,153.12,119,5.81,24
10,-69.61,18,5.45,24
17.37,-54.82,10,6.4,25
-0.31,124.08,46.1,5.44,24
-33.62,57.59,15,5.51,24
9.69,124.97,220.4,5.78,24
-21.01,-179.35,657.6,5.55,24
-4.84,34.7,15,5.66,24
36.33,141.41,50.3,5.51,24
52.49,-169.65,25.7,5.61,24
-20.91,-178.98,615.5,5.39,24
52.54,-169.69,19.8,5.8,24
13.45,51.25,15,5.44,24
39.92,77.44,15,5.89,24
50.93,-176.31,17.3,5.41,24
30.61,56.25,24.2,5.86,24
47.81,153.12,159.1,5.7,24
25.48,143.26,26.5,6.55,25
52.6,160.52,55.6,5.6,24
-1.28,127.09,27.7,5.38,24
29,127.45,15,5.96,25
-34.55,54.98,15,5.71,24
72.02,-0.5,15,5.25,23
39,143.66,15,6.08,25
2,127.39,62.6,5.56,24
-17.9,-178.85,557,5.37,24
60.16,-153.75,183.5,5.41,24
15.97,40.32,10.1,6.6,25
64.45,-17.73,15,5.4,24
28.5,138.34,538.4,5.71,24
-5.45,151.63,78.2,5.83,24
40.15,15.46,285.8,5.9,24
-15.35,-71.61,161.4,6.16,25
41.23,44.03,15,5.56,24
-37.96,-71.61,144,5.46,24
85.74,-23.83,15,5.2,23
9.3,-83.48,66.5,5.44,24
-20.53,-127.19,15,5.17,23
18.66,121.92,15,6.11,25
-11.76,34.45,15,4.95,23
46.55,152.26,40.8,5.72,24
30.07,138.74,412.2,5.41,24
-17.74,-171.95,15,5.21,23
44.6,150.11,30,6.02,25
34.74,139.07,11,6.67,26
44.22,150.24,30,5.38,24
1.62,126.3,46.2,5.62,24
-30.13,-177.51,15.7,6.27,25
34.85,138.64,15,5.82,24
-30.02,-177.43,15,6.22,25
36.31,70.19,242.1,5.34,24
-31.53,-68.08,23,5.95,25
17.51,40.49,15,5.37,24
-9.86,159.37,25,5.65,24
-34.55,-70.04,109.3,5.59,24
-3.98,123.17,30,5.44,24
6.54,-72.75,15,5.42,24
-16.82,-73.56,84.1,5.28,24
44.71,150.03,20,5.96,25
-6.11,149.02,94.5,6.13,25
-62.47,164.52,15,5.41,24
-7.93,121.79,184,5.33,24
-5.4,152.14,12.6,6.59,25
-5.4,145.03,57.7,5.41,24
13.46,144.82,15,5.46,24
-25.95,-177.35,97.6,6.38,25
45.65,149.57,159,5.31,24
-29.61,-176.73,15,5.65,24
-4.35,152.74,15,6.05,25
-25.08,-174.83,17.7,5.42,24
-29.52,-177.24,15,5.89,24
-56.25,-27.64,131.2,5.25,23
79.9,0.82,15,5.1,23
-5.44,151.77,15,6.09,25
4.73,125.59,179.1,5.81,24
78.41,-108.09,15,5.1,23
0.09,123.81,81,6.37,25
12.98,93.19,15,5.59,24
-20.05,-178.6,599.8,5.4,24
12.83,93.03,15,5.71,24
24.37,122.77,15,6.03,25
-55.99,-144.14,15,5.24,23
-4.5,102.45,57,5.14,23
44.17,150.57,31.7,5.59,24
-30.6,-177.02,23.1,7,26
-29.97,-176.98,15,6.17,25
-30.17,-175.81,10.1,6.26,25
-30.07,-177.13,15,5.38,24
13.08,50.86,15,5.67,24
-8.82,124.12,112,5.79,24
-30.03,-179.73,340.1,5.36,24
5.84,-78.24,15,5.65,24
-3.26,129,15,5.37,24
-55.71,-125.42,15,5.51,24
-28.59,-71.47,66,5.33,24
-3.9,128.95,110.5,5.99,25
13.72,-91.72,45.8,5.63,24
-20.57,-179.05,600,5.82,24
-39.95,-91.76,15,5.47,24
38.45,141.96,48,6.5,25
-6.72,128.89,15,5.41,24
-5.04,125.28,555.5,6.2,25
13.46,-91.75,72.7,6.29,25
29.5,129.88,60,5.81,24
-22.93,-175.78,63.6,5.97,25
23.16,94.93,122.2,5.09,23
-4.61,-12.23,15,5.63,24
-4.27,152.8,40,5.55,24
-10.17,117.08,15,5.71,24
48.75,155.89,58.4,5.17,23
-26.78,-115.12,15,6,25
-53.83,140.53,15,5.85,24
