"utc_date","latitude","longitude","depth","magnitude"
"11/19/2010","-18.0072","-69.608","77","4.7"
"11/19/2010","-15.8634","-75.2344","35","4.5"
"11/19/2010","-16.022","-75.2977","30","4.5"
"11/20/2010","-5.7564","-78.558","27","4.5"
"11/20/2010","-6.0135","-77.3539","56","4.6"
"11/20/2010","-16.0309","-75.376","46","4.7"
"11/20/2010","-3.1479","-81.2485","41","4.5"
"11/21/2010","-9.6639","-79.0914","15","4.6"
"11/21/2010","-15.3275","-71.8247","142","4.5"
"11/22/2010","-16.3021","-74.4636","27","4.5"
"11/22/2010","-16.4359","-74.653","26","5.1"
"11/22/2010","-3.9288","-82.1889","59","4.8"
"11/22/2010","-8.2811","-75.5269","20","4.6"
"11/24/2010","-10.9559","-73.95","154","4.8"
"11/24/2010","-8.8733","-75.644","158","4.9"
"11/24/2010","-16.3422","-73.761","31","4.6"
"11/24/2010","-14.8563","-72.0034","8","5.3"
"11/24/2010","-14.8747","-72.1272","11","4.6"
"11/25/2010","-14.9187","-72.0864","19","4.7"
"11/25/2010","-16.1014","-71.6942","10","5.2"
"11/26/2010","-9.6236","-75.3105","204","4.6"
"11/27/2010","-12.1328","-75.8608","109","4.6"
"11/27/2010","-15.0366","-72.3226","145","4.5"
"11/28/2010","-16.3961","-72.5278","112","4.5"
"11/28/2010","-5.9193","-75.3491","135","4.9"
"11/28/2010","-14.9478","-71.9685","8","5.4"
"11/29/2010","-17.4618","-72.6129","50","4.5"
"11/30/2010","-15.9832","-72.7359","110","4.7"
"11/30/2010","-13.5354","-77.0832","31","4.5"
"11/30/2010","-8.9532","-80.083","15","4.6"
"11/30/2010","-10.282","-78.9869","25","4.5"
"12/1/2010","-13.6264","-76.8741","38","4.5"
"12/2/2010","-15.7104","-70.4919","227","4.7"
"12/4/2010","-4.7705","-80.6389","33","4.5"
"12/5/2010","-9.8476","-79.8106","32","4.9"
"12/5/2010","-15.073","-75.6979","38","4.7"
"12/6/2010","-12.0894","-77.4634","37","4.6"
"12/6/2010","-14.5","-74.1591","110","4.6"
"12/7/2010","-16.9305","-71.1276","123","5.2"
"12/7/2010","-14.3784","-72.4499","93","4.5"
"12/7/2010","-8.2898","-77.2196","35","4.5"
"12/8/2010","-16.6993","-73.8019","32","4.5"
"12/8/2010","-8.4739","-74.4691","183","4.8"
"12/9/2010","-7.0533","-77.4594","25","4.5"
"12/10/2010","-5.5099","-76.4976","55","4.5"
"12/10/2010","-15.4376","-72.1726","138","4.6"
"12/11/2010","-17.7811","-72.0705","11","5.2"
"12/11/2010","-6.1061","-76.5711","136","4.5"
"12/12/2010","-6.1853","-76.1872","77","4.6"
"12/12/2010","-6.0529","-76.0891","81","4.5"
"12/12/2010","-4.1868","-79.0372","101","4.6"
"12/12/2010","-9.7542","-80.5138","28","4.7"
"12/12/2010","-4.2441","-80.3159","5","4.5"
"12/13/2010","-2.5012","-77.7324","78","5.2"
"12/13/2010","-5.8542","-75.6918","73","4.5"
"12/13/2010","-4.1119","-76.9147","170","4.7"
"12/15/2010","-10.03","-79.0629","54","4.7"
"12/15/2010","-18.1785","-69.4538","158","4.9"
"12/16/2010","-10.9514","-73.7274","133","5.6"
"12/16/2010","-11.8836","-76.0281","124","4.6"
"12/17/2010","-17.3768","-71.6716","42","5.2"
"12/17/2010","-8.7427","-71.5048","638","5.3"
"12/18/2010","-15.284","-71.553","124","4.3"
"12/19/2010","-9.2645","-74.4442","155","4.8"
"12/19/2010","-15.2495","-72.1741","136","4.9"
"12/19/2010","-11.2725","-74.6131","114","4.5"
"12/19/2010","-11.2041","-79.4663","54","4.9"
"12/20/2010","-6.9323","-76.0822","57","4.5"
"12/20/2010","-14.8567","-72.0903","10","4.8"
"12/20/2010","-7.7807","-74.3171","171","4.5"
"12/21/2010","-5.8755","-76.6018","137","4.5"
"12/21/2010","-10.1035","-79.6335","38","4.8"
"12/21/2010","-15.4188","-70.8271","206","5.2"
"12/21/2010","-13.5815","-76.3367","58","4.5"
"12/22/2010","-17.9858","-73.9075","58","4.7"
"12/22/2010","-15.5416","-71.999","162","4.7"
"12/22/2010","-7.2947","-78.5491","34","4.5"
"12/23/2010","-5.2395","-81.4322","7","4.5"
"12/25/2010","-16.1367","-73.8565","23","4.6"
"12/25/2010","-15.0607","-72.1126","135","4.6"
"12/26/2010","-15.9767","-74.6849","116","4.5"
"12/26/2010","-15.8363","-75.5097","9","4.6"
"12/26/2010","-16.7783","-72.7279","43","4.5"
"12/27/2010","-15.1658","-72.867","127","4.8"
"12/27/2010","-6.1706","-76.3843","115","4.6"
"12/27/2010","-16.1903","-74.2041","25","4.9"
"12/27/2010","-10.2583","-76.6693","65","4.5"
"12/27/2010","-14.1624","-72.9283","139","4.5"
"12/28/2010","-18.4383","-69.8162","108","4.7"
"12/28/2010","-10.9799","-78.4154","51","4.9"
"12/28/2010","-14.4831","-73.7402","55","4.5"
